Models,RMSE,MAE,R2
RandomForest,3.7244716759255385,2.549457724252491,0.9266218117960662
GradientBoosting,3.441519163786835,2.3481208352231313,0.9373475559988796
LightGBM,3.3715166000730457,2.2667171763854683,0.9398704107457917
